Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"3.220.155.233",61,16495,31,13522,30,2973,"","","","","",""
"3.225.201.66",105,23549,55,17336,50,6213,"","","","","",""
"3.232.184.18",53,19483,26,15460,27,4023,"","","","","",""
"8.240.169.252",164,156605,111,152257,53,4348,"","","","","",""
"8.252.215.126",14,2053,7,1069,7,984,"","","","","",""
"8.252.220.254",68,7208,0,0,68,7208,"","","","","",""
"10.42.85.10",65092,11549940,26512,2325815,38580,9224125,"","","","","",""
"10.42.85.115",82809,62547650,30876,4377465,51933,58170185,"","","","","",""
"10.42.85.255",96,11587,0,0,96,11587,"","","","","",""
"10.90.90.90",3590,761292,1788,588062,1802,173230,"","","","","",""
"13.35.126.20",93,54227,49,50525,44,3702,"","","","","",""
"13.107.4.254",33,10236,16,8114,17,2122,"","","","","",""
"13.107.5.88",77,39118,43,35042,34,4076,"","","","","",""
"13.107.6.156",33,12886,18,11083,15,1803,"","","","","",""
"13.107.21.200",3808,2359231,2235,2100807,1573,258424,"","","","","",""
"13.107.246.10",175,55648,91,45179,84,10469,"","","","","",""
"13.225.41.147",9,2813,4,2258,5,555,"","","","","",""
"13.225.54.10",47,16240,23,13739,24,2501,"","","","","",""
"13.225.54.89",86,41165,45,37638,41,3527,"","","","","",""
"13.249.64.49",26,5206,13,3697,13,1509,"","","","","",""
"13.249.64.115",49,13478,23,10227,26,3251,"","","","","",""
"13.249.64.218",9,2757,4,2214,5,543,"","","","","",""
"13.249.71.26",48,22480,23,20007,25,2473,"","","","","",""
"13.249.71.63",134,70673,79,65117,55,5556,"","","","","",""
"20.54.64.202",16,5009,8,2534,8,2475,"","","","","",""
"20.140.48.68",30,7157,15,5376,15,1781,"","","","","",""
"20.189.118.208",16,5009,8,2534,8,2475,"","","","","",""
"20.190.134.4",34,12641,19,10357,15,2284,"","","","","",""
"23.7.101.24",59,17330,30,14680,29,2650,"","","","","",""
"23.32.45.41",1717,1202023,1003,1134928,714,67095,"","","","","",""
"23.37.117.182",538,420718,321,404042,217,16676,"","","","","",""
"23.47.48.9",96,36665,51,31587,45,5078,"","","","","",""
"23.47.48.59",250,205891,147,198427,103,7464,"","","","","",""
"23.47.48.60",3011,3221362,2146,3166766,865,54596,"","","","","",""
"23.47.193.50",5016,6524563,4407,6477178,609,47385,"","","","","",""
"23.48.11.18",269,156783,149,140778,120,16005,"","","","","",""
"23.48.11.26",1938,1454894,1175,1377634,763,77260,"","","","","",""
"23.48.11.42",337,180172,188,161267,149,18905,"","","","","",""
"23.48.11.90",205,134904,115,121991,90,12913,"","","","","",""
"23.66.176.80",36,9853,17,7647,19,2206,"","","","","",""
"23.66.191.26",422,280652,238,263511,184,17141,"","","","","",""
"23.100.237.4",57,17457,29,14514,28,2943,"","","","","",""
"23.201.216.105",466,222015,265,203722,201,18293,"","","","","",""
"23.203.96.10",1128,900665,657,867248,471,33417,"","","","","",""
"23.203.96.43",154,71548,76,64433,78,7115,"","","","","",""
"23.207.219.76",70,34319,41,29542,29,4777,"","","","","",""
"23.221.63.58",195,78363,102,69683,93,8680,"","","","","",""
"34.96.91.138",1804,1941542,1332,1910336,472,31206,"","","","","",""
"34.98.80.117",45,10802,21,8183,24,2619,"","","","","",""
"34.197.67.42",49,16861,26,14204,23,2657,"","","","","",""
"34.215.119.141",36,11670,19,8899,17,2771,"","","","","",""
"34.216.236.130",460,429061,333,414549,127,14512,"","","","","",""
"35.212.250.127",61,21772,29,15354,32,6418,"","","","","",""
"35.244.159.8",62,15146,32,11808,30,3338,"","","","","",""
"35.244.245.222",51,14831,25,12135,26,2696,"","","","","",""
"40.90.22.187",50,23432,29,16739,21,6693,"","","","","",""
"40.90.22.189",54,27916,29,22945,25,4971,"","","","","",""
"40.90.22.192",156,67802,89,51395,67,16407,"","","","","",""
"40.91.125.0",24,10147,14,7284,10,2863,"","","","","",""
"40.122.160.14",120,65061,60,25716,60,39345,"","","","","",""
"52.26.146.4",28,2992,6,1224,22,1768,"","","","","",""
"52.35.10.101",70,17335,28,13636,42,3699,"","","","","",""
"52.37.173.24",28,2984,6,1220,22,1764,"","","","","",""
"52.114.77.34",143,75537,73,36050,70,39487,"","","","","",""
"52.114.128.10",41,19702,23,6415,18,13287,"","","","","",""
"52.114.128.43",21,7363,12,5095,9,2268,"","","","","",""
"52.114.128.69",26,10687,13,7724,13,2963,"","","","","",""
"52.114.132.22",26,9938,15,5619,11,4319,"","","","","",""
"52.114.132.73",125,50383,66,35799,59,14584,"","","","","",""
"52.114.132.91",273,193177,140,12740,133,180437,"","","","","",""
"52.114.159.23",244,121540,125,56579,119,64961,"","","","","",""
"52.114.159.112",61,33765,33,6960,28,26805,"","","","","",""
"52.148.151.26",26,8623,14,7176,12,1447,"","","","","",""
"52.167.250.154",118,42765,61,32744,57,10021,"","","","","",""
"52.170.57.27",61,32178,30,12705,31,19473,"","","","","",""
"52.171.136.200",56,14938,27,11824,29,3114,"","","","","",""
"52.184.206.73",33,10931,17,7769,16,3162,"","","","","",""
"52.217.65.150",52,12229,26,9609,26,2620,"","","","","",""
"52.230.222.68",26,2794,14,1583,12,1211,"","","","","",""
"52.242.211.89",127,37028,78,25558,49,11470,"","","","","",""
"54.172.21.178",59,18439,32,15257,27,3182,"","","","","",""
"54.172.53.141",57,17110,30,14030,27,3080,"","","","","",""
"54.241.183.211",52,16373,25,13569,27,2804,"","","","","",""
"65.52.108.90",53,19119,28,6237,25,12882,"","","","","",""
"70.37.74.6",1613,1109936,949,972756,664,137180,"","","","","",""
"72.21.81.200",78,34708,44,31150,34,3558,"","","","","",""
"72.21.81.240",4,228,2,108,2,120,"","","","","",""
"72.21.91.29",309,78837,151,59079,158,19758,"","","","","",""
"72.21.206.140",105,43725,52,34352,53,9373,"","","","","",""
"74.114.154.22",54,15285,27,12550,27,2735,"","","","","",""
"74.120.184.194",3096,2583740,1938,2490788,1158,92952,"","","","","",""
"74.120.184.204",1828,1634328,1121,1587401,707,46927,"","","","","",""
"75.2.13.80",48,16039,25,12764,23,3275,"","","","","",""
"75.2.92.115",53,15752,26,13000,27,2752,"","","","","",""
"75.98.70.72",102,51844,54,23148,48,28696,"","","","","",""
