IP Address,Country,Owner,Malicious,Suspicious,Undetected,Total
3.220.155.233  ,US,AMAZON-AES,0,0,94,94
3.225.201.66   ,US,AMAZON-AES,0,0,94,94
3.232.184.18   ,US,AMAZON-AES,0,0,94,94
8.240.169.252  ,US,LEVEL3,0,0,31,94
8.252.215.126  ,US,LEVEL3,0,0,47,94
8.252.220.254  ,US,LEVEL3,0,0,48,94
10.42.85.10    ,LOCAL,LOCAL,0,0,0,0
10.42.85.115   ,LOCAL,LOCAL,0,0,0,0
10.42.85.255   ,LOCAL,LOCAL,0,0,0,0
10.90.90.90    ,LOCAL,LOCAL,0,0,0,0
13.35.126.20   ,US,AMAZON-02,0,0,94,94
13.107.4.254   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
13.107.5.88    ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
13.107.6.156   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
13.107.21.200  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,30,94
13.107.246.10  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
13.225.41.147  ,US,AMAZON-02,0,0,40,94
13.225.54.10   ,US,AMAZON-02,0,0,58,94
13.225.54.89   ,US,AMAZON-02,0,0,94,94
13.249.64.49   ,US,AMAZON-02,0,0,94,94
13.249.64.115  ,US,AMAZON-02,0,0,39,94
13.249.64.218  ,US,AMAZON-02,0,0,94,94
13.249.71.26   ,US,AMAZON-02,0,0,94,94
13.249.71.63   ,US,AMAZON-02,0,0,94,94
20.54.64.202   ,IE,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
20.140.48.68   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
20.189.118.208 ,HK,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,36,94
20.190.134.4   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,58,94
23.7.101.24    ,AU,Akamai International B.V.,0,0,40,94
23.32.45.41    ,US,Akamai International B.V.,0,0,94,94
23.37.117.182  ,JP,AKAMAI-AS,0,0,45,94
23.47.48.9     ,US,Akamai International B.V.,0,0,31,94
23.47.48.59    ,US,Akamai International B.V.,0,0,94,94
23.47.48.60    ,US,Akamai International B.V.,0,0,40,94
23.47.193.50   ,US,Akamai International B.V.,0,0,94,94
23.48.11.18    ,US,AKAMAI-AS,0,0,40,94
23.48.11.26    ,US,AKAMAI-AS,0,0,94,94
23.48.11.42    ,US,AKAMAI-AS,0,0,94,94
23.48.11.90    ,US,AKAMAI-AS,0,0,39,94
23.66.176.80   ,US,Akamai International B.V.,0,0,94,94
23.66.191.26   ,US,Akamai International B.V.,0,0,94,94
23.100.237.4   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
23.201.216.105 ,BR,AKAMAI-AS,0,0,94,94
23.203.96.10   ,US,AKAMAI-AS,0,0,94,94
23.203.96.43   ,US,AKAMAI-AS,0,0,94,94
23.207.219.76  ,KR,AKAMAI-AS,0,0,94,94
23.221.63.58   ,US,Akamai International B.V.,0,0,94,94
34.96.91.138   ,US,GOOGLE-CLOUD-PLATFORM,0,0,32,94
34.98.80.117   ,US,GOOGLE-CLOUD-PLATFORM,0,0,94,94
34.197.67.42   ,US,AMAZON-AES,0,0,47,94
34.215.119.141 ,US,AMAZON-02,0,0,94,94
34.216.236.130 ,US,AMAZON-02,0,0,47,94
35.212.250.127 ,US,GOOGLE,0,0,32,94
35.244.159.8   ,US,GOOGLE-CLOUD-PLATFORM,0,0,31,94
35.244.245.222 ,US,GOOGLE-CLOUD-PLATFORM,0,0,94,94
40.90.22.187   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,3,0,30,94
40.90.22.189   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,31,94
40.90.22.192   ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,30,94
40.91.125.0    ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
40.122.160.14  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,30,94
52.26.146.4    ,US,AMAZON-02,0,0,94,94
52.35.10.101   ,US,AMAZON-02,0,0,94,94
52.37.173.24   ,US,AMAZON-02,0,0,94,94
52.114.77.34   ,IE,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,30,94
52.114.128.10  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,30,94
52.114.128.43  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
52.114.128.69  ,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
